,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars
262,262,english muffin mcdonalds,97,2.3,1.1,15.4,1.1,2.9,1.5
263,263,french fries mcdonalds,378,18.1,2.7,8.6,5.5,49.8,0.2
264,264,hotdog,383,23,8.1,10.8,2.7,28.5,0
265,265,french fries burger king,207,9.2,1.6,2.4,4.4,28.6,0.4
266,266,original taco with beef cheese lettuce taco bell,158,8.8,3,3,2.1,13.7,0.6
267,267,hotdog with chili,296,13.4,4.9,6.6,1.2,31.3,0
268,268,chicken crispy wings kentucky fried chicken,148,10.1,2.1,3.3,3.8,5.1,0
269,269,egg white delight mcdonalds,250,16,4,18,4,0.0,0.0
270,270,french toast sticks burger king,73,3.7,0.8,2,0.5,8.7,2.1
271,271,mcchicken mcdonalds,358,17.3,3.1,5.8,6.5,36.6,4.7
272,272,nachos supreme taco bell,480,26.6,7.8,13.7,2.8,45,0
273,273,crispy chicken wing kentucky fried chicken,104,5.3,1.1,1.7,1.8,1.3,0
274,274,chicken strips burger king,105,5.5,1,1.5,2.7,7.4,0
275,275,crispy chicken breast kentucky fried chicken,214,6.7,1.7,2.4,2.3,0.4,0
276,276,sausage biscuit mcdonalds,440,29.7,12.5,10.3,4,31.8,2.3
277,277,sausage burrito mcdonalds,339,17.1,6.1,6.5,2.4,24.2,1.4
278,278,onion rings fried,27,1.6,0.3,0.4,0.8,2.8,0.4
279,279,onion rings burger king,379,23,3.8,6.3,11.1,39.7,4.9
280,280,turkey patty fried,79,5,1.3,2.1,1.3,4.4,0.053
281,281,hotcakes with syrup mcdonalds,601,17.8,1.8,1.9,4.6,101.8,45.5
282,282,crispy chicken thigh kentucky fried chicken,163,9.1,2.5,3.8,2.1,0,0
283,283,corn dog,195,9.4,2.7,3.7,2.6,21,5.9
284,284,chicken box mcdonalds,70,4,0.8,2.8,0.011,5.5,0.5
285,285,potato wedges kentucky fried chicken,379,19.8,4,11.9,2.4,45,0
286,286,scrambled eggs mcdonalds,98,7.5,2.1,2.7,1.1,0.9,0.1
287,287,egg mcmuffin mcdonalds,287,12.2,4.5,3.4,2.2,27.3,2.7
288,288,nachos taco bell,362,21.9,4.7,12.6,2.6,36,0
289,289,biscuit large mcdonalds,310,14.4,8.3,3.4,2,39.4,2.7
290,290,crispy chicken strips kentucky fried chicken,129,7.2,1.4,2,3.2,6.4,0
