food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,food_category,Protein,Dietary Fiber,Sodium,Cholesterol,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,is_vegan,is_vegetarian,is_eggetarian,is_non_veg,is_high_protein,is_low_carb,is_high_fiber,protein_per_cal,fiber_per_cal,sugar_per_cal,fat_per_cal
basil dried,2,0.027,0.02,0.038,0.076,0.3,0.054,Fruits & Produce,0.2,0.3,0.089,0.0,0.076,0.0,0.0,0.099,0.043,0.0,0.012,0.07,0.011,0.047,0.033,0.0,0.034,0.078,15.7,0.082,0.6,5.0,0.051,1.9,18.4,0.054,1.0,True,True,True,False,True,True,True,0.4,15.0,0.108,0.1215
dandelion greens cooked,35,0.6,0.0,0.0,0.0,6.7,1.7,Fruits & Produce,2.1,3.0,0.3,0.0,94.3,0.0,0.1,0.063,0.0,0.2,0.5,0.058,0.2,18.9,0.0,0.6,0.4,147.0,0.1,1.9,25.2,0.2,44.1,243.6,0.004,0.3,180.2,True,True,True,False,True,False,True,0.24000000000000002,8.571428571428571,0.19428571428571428,0.15428571428571428
basil fresh,2,0.089,0.069,0.019,0.03,0.2,0.064,Fruits & Produce,0.2,0.1,0.058,0.0,6.4,0.0,0.0,0.06,0.064,0.0,0.075,0.094,0.02,0.074,1.3,0.0,0.014,0.047,12.4,0.075,0.2,4.5,0.069,3.9,20.7,0.085,0.752,True,True,True,False,True,True,True,0.4,5.0,0.128,0.40049999999999997
dock,29,0.9,0.0,0.0,0.0,4.3,0.0,Fruits & Produce,2.7,3.9,0.025,0.0,123.7,0.0,0.0,0.0,0.091,0.0,0.1,0.7,0.029,0.2,63.8,0.0,0.0,0.0,58.5,0.2,3.2,137.0,0.5,83.8,518.7,0.067,12.2,True,True,True,False,True,True,True,0.3724137931034483,13.448275862068966,0.0,0.2793103448275862
garden cress cooked,31,0.8,0.001,0.3,0.3,5.1,4.2,Fruits & Produce,2.6,0.9,0.3,0.0,124.9,0.0,0.029,0.035,0.0,0.2,1.1,0.2,0.2,31.1,0.0,0.7,0.5,82.4,0.2,1.1,35.1,0.5,64.8,476.6,0.039,0.2,124.0,True,True,True,False,True,True,True,0.33548387096774196,2.903225806451613,0.5419354838709678,0.23225806451612904
onion powder,8,0.024,0.068,0.036,0.077,1.9,0.2,Fruits & Produce,0.2,0.4,0.048,0.0,0.1,0.0,0.079,0.045,0.0,0.061,0.039,0.012,0.098,0.6,0.0,0.068,0.021,9.2,0.092,0.052,2.7,0.008,7.7,23.6,0.011,0.076,12.389,True,True,True,False,False,True,True,0.1,5.0,0.1,0.027
dandelion greens raw,25,0.4,0.012,0.041,0.2,5.1,0.4,Fruits & Produce,1.5,1.9,0.043,0.0,47.1,0.0,0.1,0.059,0.0,0.1,0.4,0.095,0.1,19.3,0.0,1.9,0.4,102.9,0.007,1.7,19.8,0.2,36.3,218.4,0.086,0.2,132.8,True,True,True,False,True,True,True,0.24,7.6,0.064,0.14400000000000002
yokan,36,0.022,0.064,0.072,0.003,8.5,0.0,Fruits & Produce,0.5,0.0,0.05,0.0,5.0,0.0,0.0,0.069,0.03,0.0,0.096,0.048,0.066,0.025,0.0,0.0,0.0,0.0,3.8,0.048,0.2,2.5,0.089,5.6,6.3,0.025,9.059,True,True,True,False,False,False,False,0.05555555555555555,0.0,0.0,0.0055
fava beans cooked,187,0.7,0.1,0.1,0.3,33.4,3.1,Fruits & Produce,12.9,9.2,0.081,0.0,121.6,0.0,0.0,0.2,0.2,0.0,0.2,1.2,0.3,0.1,0.5,0.0,0.046,0.067,61.2,0.4,2.6,73.1,0.7,212.5,455.6,0.058,56.778,True,True,True,False,True,False,True,0.27593582887700535,4.919786096256684,0.06631016042780749,0.033689839572192515
french beans raw,631,3.7,0.4,0.3,2.2,118.0,0.0,Fruits & Produce,34.6,46.4,0.069,0.0,19.8,0.0,1.0,0.7,0.0,0.4,3.8,1.5,0.7,8.5,0.0,0.0,0.0,342.2,0.8,6.3,345.9,2.2,559.4,2421.4,0.049,3.5,559.7,True,True,True,False,True,False,True,0.21933438985736928,7.353407290015848,0.0,0.05277337559429478
chickpeas canned,352,7.0,0.5,1.2,2.4,57.0,0.0,Fruits & Produce,17.8,0.0,0.6,0.0,168.8,0.0,0.006,0.1,0.0,0.0,0.4,0.0,0.0,0.3,0.0,0.0,0.0,113.9,0.6,2.7,65.8,2.1,215.1,318.8,0.0,1.6,198.7,True,True,True,False,True,False,False,0.20227272727272727,0.0,0.0,0.17897727272727273
yellow beans cooked,255,1.9,0.5,0.2,0.8,44.7,0.0,Fruits & Produce,16.2,18.4,0.086,0.0,111.5,0.0,0.0,0.3,0.1,0.0,0.2,1.3,0.4,0.2,3.2,0.0,0.0,0.0,109.7,0.3,4.4,131.0,0.8,323.9,575.3,0.068,81.7,True,True,True,False,True,False,True,0.2541176470588235,7.215686274509803,0.0,0.06705882352941175
mung beans cooked,212,0.8,0.2,0.1,0.3,38.7,4.0,Fruits & Produce,14.2,15.4,0.083,0.0,146.8,0.0,0.0,0.3,0.3,0.0,0.1,1.2,0.8,0.1,2.0,0.0,0.3,0.005,54.5,0.3,2.8,97.0,0.6,200.0,537.3,0.099,69.586,True,True,True,False,True,False,True,0.2679245283018868,7.264150943396227,0.07547169811320754,0.033962264150943396
white beans canned,299,0.8,0.2,0.073,0.3,55.5,0.8,Fruits & Produce,19.0,12.6,0.079,0.0,183.7,0.0,0.3,0.2,0.0,0.026,0.3,0.5,0.2,0.0,0.0,2.1,0.052,191.3,0.6,7.8,133.6,1.3,238.4,1189.5,0.022,2.9,287.0,True,True,True,False,True,False,True,0.25418060200668896,4.214046822742475,0.010702341137123747,0.024080267558528427
pink beans cooked,252,0.8,0.2,0.045,0.4,47.2,0.6,Fruits & Produce,15.3,9.0,0.075,0.0,103.4,0.0,0.0,0.4,0.3,0.0,0.1,1.0,0.5,0.3,0.0,0.0,1.7,0.083,87.9,0.5,3.9,109.9,0.9,278.9,858.5,0.03,73.103,True,True,True,False,True,False,True,0.24285714285714285,3.5714285714285716,0.009523809523809523,0.02857142857142857
pink beans raw,720,2.4,0.6,0.2,1.0,134.8,4.5,Fruits & Produce,44.0,26.7,0.057,0.0,21.1,0.0,1.6,1.0,0.0,0.4,4.0,2.1,1.1,0.0,0.0,0.4,0.007,273.0,1.7,14.2,382.2,2.9,871.5,3074.4,0.077,5.4,495.1,True,True,True,False,True,False,True,0.24444444444444444,3.7083333333333335,0.025,0.029999999999999995
navy beans raw,701,3.1,0.4,0.5,2.9,126.4,8.1,Fruits & Produce,46.4,50.8,0.059,0.0,25.2,0.0,1.6,0.8,0.0,0.3,4.6,1.5,0.9,0.0,0.0,0.08,0.018,305.8,1.7,11.4,364.0,2.9,846.6,2464.8,0.028,7.6,543.9,True,True,True,False,True,False,True,0.2647646219686163,7.24679029957204,0.04621968616262482,0.03980028530670471
snap beans cooked,44,0.4,0.005,0.02,0.2,9.9,1.9,Fruits & Produce,2.4,4.0,0.086,0.0,111.5,0.0,0.0,0.053,0.076,0.0,0.1,0.8,0.021,0.061,12.1,0.0,0.6,0.053,55.0,0.015,0.8,22.5,0.4,36.3,182.5,0.02,16.848,True,True,True,False,False,False,True,0.21818181818181817,9.090909090909092,0.17272727272727273,0.08181818181818182
